id,latitude,__CLASS__,title,salary_is_predicted,adref,company,location,created,longitude,salary_max,description,contract_time,salary_min,redirect_url,contract_type,category
5035246394,52.497398,Adzuna::API::Response::Job,Quality Inspector,0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTAzNTI0NjM5NCIsInMiOiJhT2stVTU3cjd4R0Z2N1RWNkttTF9RIn0.sxzFB66VlvKaA8C1ZlUPWwaKGNB9GWJu6xRXd5ZFQes,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Premier Technical Recruitment'}","{'display_name': 'Coleshill, Birmingham', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['UK', 'West Midlands', 'Birmingham', 'Coleshill']}",2025-02-03T14:32:54Z,-1.70547,30000.0,"Quality Inspector Near Coleshill, Warwickshire c£26k - £30k neg dep exp  benefits Our client has been established for almost 40 years and are recognised market leaders in the design and development, manufacture and distribution of an impressive portfolio of cabling and connection solutions for supply throughout the world, and as a result of continued success and an ongoing programme of strategic growth for 2025 and beyond, are now looking to recruit an enthusiastic and self-motivated Quality In…",full_time,26000.0,https://www.adzuna.co.uk/jobs/details/5035246394?utm_medium=api&utm_source=55daa0f8,permanent,"{'tag': 'engineering-jobs', 'label': 'Engineering Jobs', '__CLASS__': 'Adzuna::API::Response::Category'}"
5005137865,50.2136,Adzuna::API::Response::Job,Self-Employed Childminder (Part Time),0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTAwNTEzNzg2NSIsInMiOiJhT2stVTU3cjd4R0Z2N1RWNkttTF9RIn0.-mLitSZX0E26mKqFfR8NPLafAOjQhXizP5n7Cj3dI8w,"{'display_name': 'Tiney', '__CLASS__': 'Adzuna::API::Response::Company'}","{'area': ['UK', 'South West England', 'Cornwall', 'Camborne'], 'display_name': 'Camborne, Cornwall', '__CLASS__': 'Adzuna::API::Response::Location'}",2025-01-10T11:07:10Z,-5.30078,20000.0,"Become a Childminder with Tiney – Unlock a Rewarding Career Have you considered a career in childminding? Read on to learn how people from all different backgrounds are choosing to become self-employed childminders with Tiney, earning a professional wage and finding a rewarding career working with children. About Tiney: Tiney is transforming the childminding profession by providing exceptional guidance, resources, and expertise to help childminders build and grow their own successful businesses…",part_time,20000.0,https://www.adzuna.co.uk/jobs/details/5005137865?utm_medium=api&utm_source=55daa0f8,,"{'label': 'Part time Jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'part-time-jobs'}"
5005138141,51.572201,Adzuna::API::Response::Job,Self-Employed Childcare Provider (Full Time),0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTAwNTEzODE0MSIsInMiOiJhT2stVTU3cjd4R0Z2N1RWNkttTF9RIn0.NrMexVwstHMa1id6Z_uimhRqzYYQYa2wdsLdBiyoeJY,"{'display_name': 'Tiney', '__CLASS__': 'Adzuna::API::Response::Company'}","{'area': ['UK', 'Eastern England', 'Essex', 'Basildon'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Basildon, Essex'}",2025-01-10T11:07:11Z,0.462461,40000.0,"Become a Childminder with Tiney – Unlock a Rewarding Career Have you considered a career in childminding? Read on to learn how people from all different backgrounds are choosing to become self-employed childminders with Tiney, earning a professional wage and finding a rewarding career working with children. About Tiney: Tiney is transforming the childminding profession by providing exceptional guidance, resources, and expertise to help childminders build and grow their own successful businesses…",full_time,40000.0,https://www.adzuna.co.uk/jobs/details/5005138141?utm_medium=api&utm_source=55daa0f8,,"{'tag': 'social-work-jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Social work Jobs'}"
5005138479,50.921101,Adzuna::API::Response::Job,Self-Employed Childcare Provider (Full Time),0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTAwNTEzODQ3OSIsInMiOiJhT2stVTU3cjd4R0Z2N1RWNkttTF9RIn0.ovarptdByOHLiBZI6kUB_YpePra-4JCQNfKzALhHsEI,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Tiney'}","{'area': ['UK', 'South West England', 'Somerset', 'Chard', 'Birchwood'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Birchwood, Chard'}",2025-01-10T11:07:13Z,-3.08184,40000.0,"Become a Childminder with Tiney – Unlock a Rewarding Career Have you considered a career in childminding? Read on to learn how people from all different backgrounds are choosing to become self-employed childminders with Tiney, earning a professional wage and finding a rewarding career working with children. About Tiney: Tiney is transforming the childminding profession by providing exceptional guidance, resources, and expertise to help childminders build and grow their own successful businesses…",full_time,40000.0,https://www.adzuna.co.uk/jobs/details/5005138479?utm_medium=api&utm_source=55daa0f8,,"{'label': 'Social work Jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'social-work-jobs'}"
5005137332,51.6106,Adzuna::API::Response::Job,Self-Employed Childminder (Part Time),0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiYU9rLVU1N3I3eEdGdjdUVjZLbUxfUSIsImkiOiI1MDA1MTM3MzMyIn0.ctCOHsl3YA8uRo2PmNUFuLjxXXWSQevBQZpFgIxr1rU,"{'display_name': 'Tiney', '__CLASS__': 'Adzuna::API::Response::Company'}","{'area': ['UK', 'Eastern England', 'Essex', 'Wickford'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Wickford, Essex'}",2025-01-10T11:07:07Z,0.523168,20000.0,"Become a Childminder with Tiney – Unlock a Rewarding Career Have you considered a career in childminding? Read on to learn how people from all different backgrounds are choosing to become self-employed childminders with Tiney, earning a professional wage and finding a rewarding career working with children. About Tiney: Tiney is transforming the childminding profession by providing exceptional guidance, resources, and expertise to help childminders build and grow their own successful businesses…",part_time,20000.0,https://www.adzuna.co.uk/jobs/details/5005137332?utm_medium=api&utm_source=55daa0f8,,"{'tag': 'part-time-jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Part time Jobs'}"
5005137029,51.067402,Adzuna::API::Response::Job,Self-Employed Childminder (Full Time),0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTAwNTEzNzAyOSIsInMiOiJhT2stVTU3cjd4R0Z2N1RWNkttTF9RIn0.aoXWKDISZQk4pl2k7DazrA8TD5G4DCYd0iYSgcSULNw,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Tiney'}","{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Salisbury, Wiltshire', 'area': ['UK', 'South West England', 'Wiltshire', 'Salisbury']}",2025-01-10T11:07:05Z,-1.79763,40000.0,"Become a Childminder with Tiney – Unlock a Rewarding Career Have you considered a career in childminding? Read on to learn how people from all different backgrounds are choosing to become self-employed childminders with Tiney, earning a professional wage and finding a rewarding career working with children. About Tiney: Tiney is transforming the childminding profession by providing exceptional guidance, resources, and expertise to help childminders build and grow their own successful businesses…",full_time,40000.0,https://www.adzuna.co.uk/jobs/details/5005137029?utm_medium=api&utm_source=55daa0f8,,"{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Social work Jobs', 'tag': 'social-work-jobs'}"
5005138303,54.891845,Adzuna::API::Response::Job,Self-Employed Childcare Provider (Full Time),0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiYU9rLVU1N3I3eEdGdjdUVjZLbUxfUSIsImkiOiI1MDA1MTM4MzAzIn0.OlrNaBaU5TcRdCxITR07rUDKVEsT0TS2h49__jWFuPs,"{'display_name': 'Tiney', '__CLASS__': 'Adzuna::API::Response::Company'}","{'area': ['UK', 'North East England', 'Tyne & Wear', 'Washington'], 'display_name': 'Washington, Tyne & Wear', '__CLASS__': 'Adzuna::API::Response::Location'}",2025-01-10T11:07:12Z,-1.543586,40000.0,"Become a Childminder with Tiney – Unlock a Rewarding Career Have you considered a career in childminding? Read on to learn how people from all different backgrounds are choosing to become self-employed childminders with Tiney, earning a professional wage and finding a rewarding career working with children. About Tiney: Tiney is transforming the childminding profession by providing exceptional guidance, resources, and expertise to help childminders build and grow their own successful businesses…",full_time,40000.0,https://www.adzuna.co.uk/jobs/details/5005138303?utm_medium=api&utm_source=55daa0f8,,"{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Social work Jobs', 'tag': 'social-work-jobs'}"
5005137197,51.4146,Adzuna::API::Response::Job,Self-Employed Childminder (Part Time),0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiYU9rLVU1N3I3eEdGdjdUVjZLbUxfUSIsImkiOiI1MDA1MTM3MTk3In0.U_wqiuhXujANPyhyTKEsVdMZhaEycsKVql_XCwflyw8,"{'display_name': 'Tiney', '__CLASS__': 'Adzuna::API::Response::Company'}","{'display_name': 'Hungerford, West Berkshire', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['UK', 'South East England', 'West Berkshire', 'Hungerford']}",2025-01-10T11:07:06Z,-1.51573,20000.0,"Become a Childminder with Tiney – Unlock a Rewarding Career Have you considered a career in childminding? Read on to learn how people from all different backgrounds are choosing to become self-employed childminders with Tiney, earning a professional wage and finding a rewarding career working with children. About Tiney: Tiney is transforming the childminding profession by providing exceptional guidance, resources, and expertise to help childminders build and grow their own successful businesses…",part_time,20000.0,https://www.adzuna.co.uk/jobs/details/5005137197?utm_medium=api&utm_source=55daa0f8,,"{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Part time Jobs', 'tag': 'part-time-jobs'}"
5005137050,51.7141,Adzuna::API::Response::Job,Self-Employed Childminder (Full Time),0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTAwNTEzNzA1MCIsInMiOiJhT2stVTU3cjd4R0Z2N1RWNkttTF9RIn0.n-ss9b42UDgBlMg9rT7e70X4SzTC7BlRXycvbgCwGww,"{'display_name': 'Tiney', '__CLASS__': 'Adzuna::API::Response::Company'}","{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Cirencester, Gloucestershire', 'area': ['UK', 'South West England', 'Gloucestershire', 'Cirencester']}",2025-01-10T11:07:05Z,-1.96654,40000.0,"Become a Childminder with Tiney – Unlock a Rewarding Career Have you considered a career in childminding? Read on to learn how people from all different backgrounds are choosing to become self-employed childminders with Tiney, earning a professional wage and finding a rewarding career working with children. About Tiney: Tiney is transforming the childminding profession by providing exceptional guidance, resources, and expertise to help childminders build and grow their own successful businesses…",full_time,40000.0,https://www.adzuna.co.uk/jobs/details/5005137050?utm_medium=api&utm_source=55daa0f8,,"{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Social work Jobs', 'tag': 'social-work-jobs'}"
5005138402,53.565399,Adzuna::API::Response::Job,Self-Employed Childcare Provider (Full Time),0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiYU9rLVU1N3I3eEdGdjdUVjZLbUxfUSIsImkiOiI1MDA1MTM4NDAyIn0.hhcdkRYGsKmriMUKYiwl5b96po4RNfcjPfh2P1aWcRE,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Tiney'}","{'area': ['UK', 'Yorkshire And The Humber', 'North East Lincolnshire', 'Grimsby'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Grimsby, North East Lincolnshire'}",2025-01-10T11:07:12Z,-0.075187,40000.0,"Become a Childminder with Tiney – Unlock a Rewarding Career Have you considered a career in childminding? Read on to learn how people from all different backgrounds are choosing to become self-employed childminders with Tiney, earning a professional wage and finding a rewarding career working with children. About Tiney: Tiney is transforming the childminding profession by providing exceptional guidance, resources, and expertise to help childminders build and grow their own successful businesses…",full_time,40000.0,https://www.adzuna.co.uk/jobs/details/5005138402?utm_medium=api&utm_source=55daa0f8,,"{'tag': 'social-work-jobs', 'label': 'Social work Jobs', '__CLASS__': 'Adzuna::API::Response::Category'}"
